userId,movieId,title,rating
11,107,Gra o tron,5
11,147,Terminator,8
11,215,To nie jest kraj dla starych ludzi,5
11,216,PrzeĹ‚Ä…cz ocalonych,8
11,217,Skarb narodĂłw,4
11,40,Diuna,7
11,218,Nienawistna Ăłsemka,9
11,219,Drive,8
11,220,Mechaniczna pomaraĹ„cza,9
12,124,Siedmiu SamurajĂłw,10
12,221,PopiĂłĹ‚ i Diament,10
12,222,Prawo i PiÄ™Ĺ›Ä‡,10
12,31,Fight Club,9
12,186,Breaking Bad,8
12,44,SkyFall,5
12,223,The Cure,9
12,224,Drive my Car,8
12,225,The Piano,6
12,226,The Conversation,10
12,227,Hardware,7
12,228,Polytechnic,9
12,229,New Beginning,8
12,62,Milczenie Owiec,8
12,230,Czerwony Smok,7
12,231,Arizona Dream,6
12,232,Zbrodnie po sÄ…siedzku,2
12,233,Orange is the new black,1
12,234,Sny wÄ™drownych ptakĂłw,9
12,235,No time to die,6
12,236,WĹ›ciekĹ‚e psy,10
12,237,Czas apokalipsy,10
12,238,Seksmisja,7
13,2,Rick & Morty,10
13,239,WĹ‚adaca PierĹ›cieni: PowrĂłt KrĂłla,10
13,123,Kapitan Bomba,10
13,87,Zielona Mila,10
13,240,Pan Ĺ»ycia i Ĺšmierci,8
13,241,Big Lebowski,7
13,242,Zmerzch,1
13,243,Zombie SS,2
13,244,ObecnoĹ›Ä‡,6
13,110,BÄ™karty wojny,8
13,245,Never Ending Story,7
13,189,House of Dragon,7
13,246,Naruto,8
13,247,Boruto,1
13,248,Bohemian Rhapsody,8
13,15,Forrest Gump,7
13,114,Zapach kobiety,8
13,40,Diuna,9
13,249,Dyktator,2
13,31,Fight club,9
13,250,ToĹĽsamoĹ›Ä‡ Bourna,6
13,251,Now You See Me,7
13,58,The Room,4
13,252,The Disaster Artist,7
13,186,Breaking Bad,9
13,119,Jestem Bogiem,8
13,154,Lucy,8
14,139,Avatar,8
14,6,Miasteczko South Park,9
14,2,Rick & Morty,9
14,106,Gladiator,10
14,187,The OA,10
14,8,Dziennik Bridget Jones,3
14,253,Kontakt,8
14,254,Plan 9 z kosmosu,5
14,255,Czerwona Nota,6
14,256,Full Metal Alchemist : Brotherhood,10
14,257,Boku no hero academia,8
14,258,Sword Art Online,9
14,259,Elysium,7
14,260,Jak wytresowaÄ‡ smoka,10
14,170,Marsjanin,6
14,202,Prometheus,4
14,261,Hobgoblins,2
14,262,Howard the duck,1
14,263,Inchon,3
14,264,Mac and Me,4
14,265,Bio-Dome,5
14,266,Mumia,7
14,267,Jestem bogiem (nie polski),9
14,268,The Boys,8
15,269,Jojo Rabbit,10
15,270,Dunkierka,10
15,110,BÄ™karty Wojny,9
15,140,Matrix,10
15,115,Interstellar,10
15,47,Incepcja,10
15,139,Avatar,6
15,271,Ostatni WĹ‚adca Wiatru,1
15,272,5 centymetrĂłw na sekundÄ™,8
15,273,O dziewczynie skaczÄ…cej przez czas,8
15,274,Kimi no na wa,8
15,275,Blade Runner 2049,8
15,276,Godziny Szczytu,10
15,277,Zgadnij kim jestem?,10
15,278,Kung Fu Panda,10
15,147,Terminator,10
15,279,Komando,10
15,118,Deadpool,10
15,7,Kraina Lodu,8
15,280,To,7
15,281,Player One,5
15,165,Asterix i Obelix: Misja Kleopatra,10
15,282,RRRrrrr,10
15,283,Kobieta Kot,2
15,284,Jak zostaĹ‚em gangsterem,6
15,2,Rick & Morty,7
15,138,Star Wars IX,1
15,285,Ĺotr 1,8
15,286,Transformers,2
15,104,Harry Potter,10
16,45,Na noĹĽe,8
16,166,Parasite,8
16,40,Diuna,7
16,287,Sound of Metal,7
16,32,Platforma,8
16,288,Wyspa psĂłw,9
16,289,Przemytnik,9
16,248,Bohemian Rhapsody,8
16,290,Zimna wojna,8
16,291,Lady Bird,7
16,292,Trzy billboardy za Ebbing Missouri,9
16,280,To,7
16,126,Ghost in the Shell,7
16,16,Ex Machina,8
16,293,Snowden,9
16,118,Deadpool,7
16,294,Wywiad ze sĹ‚oĹ„cem narodu,8
16,295,Ted 2,8
16,296,Ted,8
16,297,Skazani na Shawshank,9
16,298,Grawitacja,8
16,299,28 dni pĂłĹşniej,7
16,300,28 tygodni pĂłĹşniej,8
16,61,DzieĹ„ Ĺ›wira,9
16,301,ĹšmierÄ‡ nadejdzie jutro,8
16,302,Casino Royale,7
16,303,Ĺšwiat to za maĹ‚o,8
16,304,Jutro nie umiera nigdy,8
16,305,GoldenEye,9
16,44,Skyfall,9
17,306,Casino,9
17,307,Heat,10
17,111,Ciekawy przypadek Benjamina Buttona,8
17,308,Ugotowany,8
17,309,Wyspa tajemnic,9.5
17,310,Donnie Brasco,8
17,311,Limitless(Jestem Bogiem),7
17,312,American Psycho,6.5
17,313,Trylogia: Batmana,8.5
17,314,Pan i pani Smith,6
17,34,Siedem,10
17,315,As Good As It Gets,6.5
17,316,Inflitracja,7.5
17,317,ChoÄ‡ goni nas czas,8
17,318,Ojciec Chrzesny I,8
17,319,Friday,7
17,320,Super ZioĹ‚o,6
